 time            v(vin)          v(vout)         v(xenv.rect)   
 1.57694505e-03  8.76757730e-01  1.03788654e+00  8.98901222e-01 
 1.58595781e-03  8.74289390e-01  1.03788652e+00  8.99031931e-01 
 1.59595781e-03  8.71647468e-01  1.03788648e+00  8.99084927e-01 
 1.60595781e-03  8.69117442e-01  1.03788644e+00  8.99126522e-01 
 1.61595781e-03  8.66709294e-01  1.03788641e+00  8.99176367e-01 
 1.62595781e-03  8.64432530e-01  1.03788637e+00  8.99233079e-01 
 1.63595781e-03  8.62296134e-01  1.03788633e+00  8.99292637e-01 
 1.64595781e-03  8.60308539e-01  1.03788630e+00  8.99353012e-01 
 1.65595781e-03  8.58477587e-01  1.03788626e+00  8.99413997e-01 
 1.66595781e-03  8.56810505e-01  1.03788622e+00  8.99476289e-01 
 1.67595781e-03  8.55313873e-01  1.03788619e+00  8.99540888e-01 
 1.68595781e-03  8.53993596e-01  1.03788615e+00  8.99608768e-01 
 1.69595781e-03  8.52854886e-01  1.03788612e+00  8.99680564e-01 
 1.70595781e-03  8.51902236e-01  1.03788608e+00  8.99756225e-01 
 1.71595781e-03  8.51139405e-01  1.03788605e+00  8.99834701e-01 
 1.72595781e-03  8.50569406e-01  1.03788602e+00  8.99913914e-01 
 1.73595781e-03  8.50194486e-01  1.03788598e+00  8.99991153e-01 
 1.74595781e-03  8.50016125e-01  1.03788595e+00  9.00063155e-01 
 1.75595781e-03  8.50035029e-01  1.03788591e+00  9.00129247e-01 
 1.76595781e-03  8.50251121e-01  1.03788587e+00  9.00188665e-01 
 1.77595781e-03  8.50663549e-01  1.03788584e+00  9.00241803e-01 
 1.78595781e-03  8.51270686e-01  1.03788580e+00  9.00289981e-01 
 1.79595781e-03  8.52070135e-01  1.03788576e+00  9.00334904e-01 
 1.80595781e-03  8.53058741e-01  1.03788572e+00  9.00378245e-01 
 1.81595781e-03  8.54232603e-01  1.03788569e+00  9.00421396e-01 
 1.82595781e-03  8.55587088e-01  1.03788565e+00  9.00465381e-01 
