 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 1.22000000e-06  1.05000000e+01  1.22000000e-06  1.04996524e+01  1.22000000e-06  1.36255301e+00  1.22000000e-06  1.04999792e+01 
 1.23000000e-06  1.05000000e+01  1.23000000e-06  1.04996648e+01  1.23000000e-06  1.35811366e+00  1.23000000e-06  1.05000122e+01 
 1.24000000e-06  1.05000000e+01  1.24000000e-06  1.04996767e+01  1.24000000e-06  1.35387823e+00  1.24000000e-06  1.04999817e+01 
 1.25000000e-06  1.05000000e+01  1.25000000e-06  1.04996879e+01  1.25000000e-06  1.34983769e+00  1.25000000e-06  1.05000103e+01 
 1.26000000e-06  1.05000000e+01  1.26000000e-06  1.04996985e+01  1.26000000e-06  1.34598266e+00  1.26000000e-06  1.04999838e+01 
 1.27000000e-06  1.05000000e+01  1.27000000e-06  1.04997086e+01  1.27000000e-06  1.34230504e+00  1.27000000e-06  1.05000087e+01 
 1.28000000e-06  1.05000000e+01  1.28000000e-06  1.04997181e+01  1.28000000e-06  1.33879641e+00  1.28000000e-06  1.04999857e+01 
 1.29000000e-06  1.05000000e+01  1.29000000e-06  1.04997272e+01  1.29000000e-06  1.33544945e+00  1.29000000e-06  1.05000074e+01 
 1.30000000e-06  1.05000000e+01  1.30000000e-06  1.04997358e+01  1.30000000e-06  1.33225658e+00  1.30000000e-06  1.04999874e+01 
 1.31000000e-06  1.05000000e+01  1.31000000e-06  1.04997440e+01  1.31000000e-06  1.32921114e+00  1.31000000e-06  1.05000062e+01 
 1.32000000e-06  1.05000000e+01  1.32000000e-06  1.04997517e+01  1.32000000e-06  1.32630628e+00  1.32000000e-06  1.04999888e+01 
 1.33000000e-06  1.05000000e+01  1.33000000e-06  1.04997590e+01  1.33000000e-06  1.32353594e+00  1.33000000e-06  1.05000052e+01 
 1.34000000e-06  1.05000000e+01  1.34000000e-06  1.04997660e+01  1.34000000e-06  1.32089388e+00  1.34000000e-06  1.04999901e+01 
 1.35000000e-06  1.05000000e+01  1.35000000e-06  1.04997726e+01  1.35000000e-06  1.31837460e+00  1.35000000e-06  1.05000043e+01 
 1.36000000e-06  1.05000000e+01  1.36000000e-06  1.04997789e+01  1.36000000e-06  1.31597240e+00  1.36000000e-06  1.04999912e+01 
 1.37000000e-06  1.05000000e+01  1.37000000e-06  1.04997849e+01  1.37000000e-06  1.31368226e+00  1.37000000e-06  1.05000036e+01 
 1.38000000e-06  1.05000000e+01  1.38000000e-06  1.04997905e+01  1.38000000e-06  1.31149899e+00  1.38000000e-06  1.04999922e+01 
 1.39000000e-06  1.05000000e+01  1.39000000e-06  1.04997959e+01  1.39000000e-06  1.30941798e+00  1.39000000e-06  1.05000030e+01 
 1.40000000e-06  1.05000000e+01  1.40000000e-06  1.04998010e+01  1.40000000e-06  1.30743451e+00  1.40000000e-06  1.04999930e+01 
 1.41000000e-06  1.05000000e+01  1.41000000e-06  1.04998059e+01  1.41000000e-06  1.30554437e+00  1.41000000e-06  1.05000024e+01 
 1.42000000e-06  1.05000000e+01  1.42000000e-06  1.04998105e+01  1.42000000e-06  1.30374322e+00  1.42000000e-06  1.04999938e+01 
 1.43000000e-06  1.05000000e+01  1.43000000e-06  1.04998149e+01  1.43000000e-06  1.30202722e+00  1.43000000e-06  1.05000019e+01 
 1.44000000e-06  1.05000000e+01  1.44000000e-06  1.04998190e+01  1.44000000e-06  1.30039242e+00  1.44000000e-06  1.04999944e+01 
 1.45000000e-06  1.05000000e+01  1.45000000e-06  1.04998230e+01  1.45000000e-06  1.29883528e+00  1.45000000e-06  1.05000015e+01 
 1.46000000e-06  1.05000000e+01  1.46000000e-06  1.04998267e+01  1.46000000e-06  1.29735220e+00  1.46000000e-06  1.04999950e+01 
 1.47000000e-06  1.05000000e+01  1.47000000e-06  1.04998303e+01  1.47000000e-06  1.29593995e+00  1.47000000e-06  1.05000012e+01 
 1.48000000e-06  1.05000000e+01  1.48000000e-06  1.04998337e+01  1.48000000e-06  1.29459523e+00  1.48000000e-06  1.04999955e+01 
 1.49000000e-06  1.05000000e+01  1.49000000e-06  1.04998369e+01  1.49000000e-06  1.29331508e+00  1.49000000e-06  1.05000009e+01 
 1.50000000e-06  1.05000000e+01  1.50000000e-06  1.04998400e+01  1.50000000e-06  1.29209648e+00  1.50000000e-06  1.04999959e+01 
 1.51000000e-06  1.05000000e+01  1.51000000e-06  1.04998429e+01  1.51000000e-06  1.29093674e+00  1.51000000e-06  1.05000006e+01 
 1.52000000e-06  1.05000000e+01  1.52000000e-06  1.04998457e+01  1.52000000e-06  1.28983310e+00  1.52000000e-06  1.04999963e+01 
 1.53000000e-06  1.05000000e+01  1.53000000e-06  1.04998483e+01  1.53000000e-06  1.28878309e+00  1.53000000e-06  1.05000004e+01 
 1.54000000e-06  1.05000000e+01  1.54000000e-06  1.04998508e+01  1.54000000e-06  1.28778419e+00  1.54000000e-06  1.04999966e+01 
 1.55000000e-06  1.05000000e+01  1.55000000e-06  1.04998532e+01  1.55000000e-06  1.28683415e+00  1.55000000e-06  1.05000002e+01 
 1.56000000e-06  1.05000000e+01  1.56000000e-06  1.04998555e+01  1.56000000e-06  1.28593066e+00  1.56000000e-06  1.04999969e+01 
 1.57000000e-06  1.05000000e+01  1.57000000e-06  1.04998577e+01  1.57000000e-06  1.28507166e+00  1.57000000e-06  1.05000001e+01 
 1.58000000e-06  1.05000000e+01  1.58000000e-06  1.04998597e+01  1.58000000e-06  1.28425505e+00  1.58000000e-06  1.04999972e+01 
 1.59000000e-06  1.05000000e+01  1.59000000e-06  1.04998617e+01  1.59000000e-06  1.28347896e+00  1.59000000e-06  1.04999999e+01 
 1.60000000e-06  1.05000000e+01  1.60000000e-06  1.04998635e+01  1.60000000e-06  1.28274146e+00  1.60000000e-06  1.04999974e+01 
 1.61000000e-06  1.05000000e+01  1.61000000e-06  1.04998653e+01  1.61000000e-06  1.28204084e+00  1.61000000e-06  1.04999998e+01 
 1.62000000e-06  1.05000000e+01  1.62000000e-06  1.04998670e+01  1.62000000e-06  1.28137535e+00  1.62000000e-06  1.04999976e+01 
