 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            ibvdd           time            p_pass         
 6.30971784e-06  6.30971784e+00  6.30971784e-06  5.66438781e-03  6.30971784e-06  6.30660317e+00  6.30971784e-06  6.98533905e-01  6.30971784e-06  4.00170642e-05  6.30971784e-06  2.52269712e-04 
 6.40971784e-06  6.40971784e+00  6.40971784e-06  6.04125333e-03  6.40971784e-06  6.40648693e+00  6.40971784e-06  7.00657744e-01  6.40971784e-06  4.27686876e-05  6.40971784e-06  2.73876843e-04 
 6.50971784e-06  6.50971784e+00  6.50971784e-06  6.43566248e-03  6.50971784e-06  6.50637084e+00  6.50971784e-06  7.02744389e-01  6.50971784e-06  4.36245260e-05  6.50971784e-06  2.83702603e-04 
 6.60971784e-06  6.60971784e+00  6.60971784e-06  6.84787576e-03  6.60971784e-06  6.60625246e+00  6.60971784e-06  7.04791335e-01  6.60971784e-06  4.64264279e-05  6.60971784e-06  3.06547666e-04 
 6.70971784e-06  6.70971784e+00  6.70971784e-06  7.27814585e-03  6.70971784e-06  6.70613464e+00  6.70971784e-06  7.06807312e-01  6.70971784e-06  4.73450836e-05  6.70971784e-06  3.17327567e-04 
 6.80971784e-06  6.80971784e+00  6.80971784e-06  7.72671354e-03  6.80971784e-06  6.80601431e+00  6.80971784e-06  7.08789793e-01  6.80971784e-06  5.01944022e-05  6.80971784e-06  3.41421878e-04 
 6.90971784e-06  6.90971784e+00  6.90971784e-06  8.19381099e-03  6.90971784e-06  6.90589493e+00  6.90971784e-06  7.10746251e-01  6.90971784e-06  5.11725004e-05  6.90971784e-06  3.53168241e-04 
 7.00000000e-06  7.00000000e+00  7.00000000e-06  8.63161210e-03  7.00000000e-06  6.99606684e+00  7.00000000e-06  7.12487809e-01  7.00000000e-06  5.38753128e-05  7.00000000e-06  3.76662159e-04 
 7.01000000e-06  7.00000000e+00  7.01000000e-06  8.68087726e-03  7.01000000e-06  6.99608089e+00  7.01000000e-06  7.12676807e-01  7.01000000e-06  5.27503711e-05  7.01000000e-06  3.68794679e-04 
 7.03000000e-06  7.00000000e+00  7.03000000e-06  8.77976825e-03  7.03000000e-06  6.99605376e+00  7.03000000e-06  7.13049566e-01  7.03000000e-06  5.30773930e-05  7.03000000e-06  3.71075743e-04 
 7.07000000e-06  7.00000000e+00  7.07000000e-06  8.97965729e-03  7.07000000e-06  6.99600117e+00  7.07000000e-06  7.13769719e-01  7.07000000e-06  5.37329707e-05  7.07000000e-06  3.75648291e-04 
 7.15000000e-06  7.00000000e+00  7.15000000e-06  9.38724327e-03  7.15000000e-06  6.99590600e+00  7.15000000e-06  7.15116329e-01  7.15000000e-06  5.49003820e-05  7.15000000e-06  3.83787311e-04 
 7.25000000e-06  7.00000000e+00  7.25000000e-06  9.90986261e-03  7.25000000e-06  6.99580219e+00  7.25000000e-06  7.16642265e-01  7.25000000e-06  5.61903047e-05  7.25000000e-06  3.92775295e-04 
 7.35000000e-06  7.00000000e+00  7.35000000e-06  1.04451298e-02  7.35000000e-06  6.99571435e+00  7.35000000e-06  7.18017994e-01  7.35000000e-06  5.72706475e-05  7.35000000e-06  4.00296333e-04 
 7.45000000e-06  7.00000000e+00  7.45000000e-06  1.09911431e-02  7.45000000e-06  6.99563933e+00  7.45000000e-06  7.19267564e-01  7.45000000e-06  5.82077094e-05  7.45000000e-06  4.06814197e-04 
 7.55000000e-06  7.00000000e+00  7.55000000e-06  1.15462643e-02  7.55000000e-06  6.99557633e+00  7.55000000e-06  7.20411819e-01  7.55000000e-06  5.89831311e-05  7.55000000e-06  4.12200883e-04 
 7.65000000e-06  7.00000000e+00  7.65000000e-06  1.21090869e-02  7.65000000e-06  6.99552267e+00  7.65000000e-06  7.21467959e-01  7.65000000e-06  5.96574772e-05  7.65000000e-06  4.16879943e-04 
 7.75000000e-06  7.00000000e+00  7.75000000e-06  1.26784071e-02  7.75000000e-06  6.99547798e+00  7.75000000e-06  7.22450608e-01  7.75000000e-06  6.02076519e-05  7.75000000e-06  4.20690226e-04 
 7.85000000e-06  7.00000000e+00  7.85000000e-06  1.32531974e-02  7.85000000e-06  6.99543996e+00  7.85000000e-06  7.23371672e-01  7.85000000e-06  6.06891491e-05  7.85000000e-06  4.24019719e-04 
 7.95000000e-06  7.00000000e+00  7.95000000e-06  1.38325826e-02  7.95000000e-06  6.99540860e+00  7.95000000e-06  7.24241297e-01  7.95000000e-06  6.10749422e-05  7.95000000e-06  4.26679771e-04 
 8.05000000e-06  7.00000000e+00  8.05000000e-06  1.44158186e-02  8.05000000e-06  6.99538191e+00  8.05000000e-06  7.25067671e-01  8.05000000e-06  6.14163444e-05  8.05000000e-06  4.29029044e-04 
 8.15000000e-06  7.00000000e+00  8.15000000e-06  1.50022743e-02  8.15000000e-06  6.99536017e+00  8.15000000e-06  7.25857848e-01  8.15000000e-06  6.16832726e-05  8.15000000e-06  4.30857519e-04 
 8.25000000e-06  7.00000000e+00  8.25000000e-06  1.55914146e-02  8.25000000e-06  6.99534165e+00  8.25000000e-06  7.26617474e-01  8.25000000e-06  6.19237026e-05  8.25000000e-06  4.32500440e-04 
 8.35000000e-06  7.00000000e+00  8.35000000e-06  1.61827871e-02  8.35000000e-06  6.99532681e+00  8.35000000e-06  7.27351487e-01  8.35000000e-06  6.21052778e-05  8.35000000e-06  4.33731908e-04 
 8.45000000e-06  7.00000000e+00  8.45000000e-06  1.67760090e-02  8.45000000e-06  6.99531411e+00  8.45000000e-06  7.28063790e-01  8.45000000e-06  6.22733608e-05  8.45000000e-06  4.34868827e-04 
 8.55000000e-06  7.00000000e+00  8.55000000e-06  1.73707575e-02  8.55000000e-06  6.99530420e+00  8.55000000e-06  7.28757866e-01  8.55000000e-06  6.23939698e-05  8.55000000e-06  4.35673958e-04 
 8.65000000e-06  7.00000000e+00  8.65000000e-06  1.79667598e-02  8.65000000e-06  6.99529566e+00  8.65000000e-06  7.29436418e-01  8.65000000e-06  6.25104398e-05  8.65000000e-06  4.36449968e-04 
 8.75000000e-06  7.00000000e+00  8.75000000e-06  1.85637863e-02  8.75000000e-06  6.99528925e+00  8.75000000e-06  7.30101922e-01  8.75000000e-06  6.25876757e-05  8.75000000e-06  4.36951866e-04 
 8.85000000e-06  7.00000000e+00  8.85000000e-06  1.91616432e-02  8.85000000e-06  6.99528365e+00  8.85000000e-06  7.30756250e-01  8.85000000e-06  6.26674397e-05  8.85000000e-06  4.37471267e-04 
 8.95000000e-06  7.00000000e+00  8.95000000e-06  1.97601675e-02  8.95000000e-06  6.99527972e+00  8.95000000e-06  7.31401174e-01  8.95000000e-06  6.27139139e-05  8.95000000e-06  4.37758160e-04 
 9.05000000e-06  7.00000000e+00  9.05000000e-06  2.03592219e-02  9.05000000e-06  6.99527621e+00  9.05000000e-06  7.32037987e-01  9.05000000e-06  6.27676312e-05  9.05000000e-06  4.38095518e-04 
 9.15000000e-06  7.00000000e+00  9.15000000e-06  2.09586909e-02  9.15000000e-06  6.99527403e+00  9.15000000e-06  7.32667967e-01  9.15000000e-06  6.27923417e-05  9.15000000e-06  4.38230347e-04 
 9.25000000e-06  7.00000000e+00  9.25000000e-06  2.15584774e-02  9.25000000e-06  6.99527199e+00  9.25000000e-06  7.33292004e-01  9.25000000e-06  6.28276043e-05  9.25000000e-06  4.38438762e-04 
 9.35000000e-06  7.00000000e+00  9.35000000e-06  2.21584995e-02  9.35000000e-06  6.99527105e+00  9.35000000e-06  7.33911027e-01  9.35000000e-06  6.28369497e-05  9.35000000e-06  4.38466275e-04 
 9.45000000e-06  7.00000000e+00  9.45000000e-06  2.27586886e-02  9.45000000e-06  6.99527005e+00  9.45000000e-06  7.34525645e-01  9.45000000e-06  6.28591493e-05  9.45000000e-06  4.38583454e-04 
 9.55000000e-06  7.00000000e+00  9.55000000e-06  2.33589869e-02  9.55000000e-06  6.99526998e+00  9.55000000e-06  7.35136542e-01  9.55000000e-06  6.28576684e-05  9.55000000e-06  4.38535387e-04 
 9.65000000e-06  7.00000000e+00  9.65000000e-06  2.39593457e-02  9.65000000e-06  6.99526971e+00  9.65000000e-06  7.35744126e-01  9.65000000e-06  6.28706267e-05  9.65000000e-06  4.38588048e-04 
 9.75000000e-06  7.00000000e+00  9.75000000e-06  2.45597243e-02  9.75000000e-06  6.99527025e+00  9.75000000e-06  7.36348907e-01  9.75000000e-06  6.28615332e-05  9.75000000e-06  4.38486871e-04 
 9.85000000e-06  7.00000000e+00  9.85000000e-06  2.51600883e-02  9.85000000e-06  6.99527049e+00  9.85000000e-06  7.36951157e-01  9.85000000e-06  6.28679546e-05  9.85000000e-06  4.38493919e-04 
 9.95000000e-06  7.00000000e+00  9.95000000e-06  2.57604089e-02  9.95000000e-06  6.99527146e+00  9.95000000e-06  7.37551259e-01  9.95000000e-06  6.28535214e-05  9.95000000e-06  4.38355517e-04 
 1.00500000e-05  7.00000000e+00  1.00500000e-05  2.63606619e-02  1.00500000e-05  6.99527206e+00  1.00500000e-05  7.38149387e-01  1.00500000e-05  6.28553177e-05  1.00500000e-05  4.38330316e-04 
 1.01500000e-05  7.00000000e+00  1.01500000e-05  2.69608267e-02  1.01500000e-05  6.99527333e+00  1.01500000e-05  7.38745838e-01  1.01500000e-05  6.28371504e-05  1.01500000e-05  4.38165912e-04 
 1.02500000e-05  7.00000000e+00  1.02500000e-05  2.75608864e-02  1.02500000e-05  6.99527418e+00  1.02500000e-05  7.39340717e-01  1.02500000e-05  6.28356724e-05  1.02500000e-05  4.38117900e-04 
 1.03500000e-05  7.00000000e+00  1.03500000e-05  2.81608266e-02  1.03500000e-05  6.99527566e+00  1.03500000e-05  7.39934255e-01  1.03500000e-05  6.28149045e-05  1.03500000e-05  4.37935412e-04 
 1.04500000e-05  7.00000000e+00  1.04500000e-05  2.87606351e-02  1.04500000e-05  6.99527669e+00  1.04500000e-05  7.40526511e-01  1.04500000e-05  6.28111056e-05  1.04500000e-05  4.37871252e-04 
 1.05500000e-05  7.00000000e+00  1.05500000e-05  2.93603018e-02  1.05500000e-05  6.99527831e+00  1.05500000e-05  7.41117671e-01  1.05500000e-05  6.27885367e-05  1.05500000e-05  4.37676267e-04 
