 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 3.95379717e-06  3.95379717e-01  3.95379717e-06 -1.93088377e-04  3.95379717e-06  3.93008586e-01  3.95379717e-06 -2.34114762e-04  3.95379717e-06  2.70136605e-01  3.95379717e-06  2.92617693e-03 
 4.05379717e-06  4.05379717e-01  4.05379717e-06 -2.02654756e-04  4.05379717e-06  4.03009625e-01  4.05379717e-06 -2.42151793e-04  4.05379717e-06  2.75883693e-01  4.05379717e-06  2.92612539e-03 
 4.15379717e-06  4.15379717e-01  4.15379717e-06 -2.12220419e-04  4.15379717e-06  4.13010635e-01  4.15379717e-06 -2.50342800e-04  4.15379717e-06  2.81482612e-01  4.15379717e-06  2.92607542e-03 
 4.25379717e-06  4.25379717e-01  4.25379717e-06 -2.21786587e-04  4.25379717e-06  4.23011610e-01  4.25379717e-06 -2.58301550e-04  4.25379717e-06  2.86917382e-01  4.25379717e-06  2.92602702e-03 
 4.35379717e-06  4.35379717e-01  4.35379717e-06 -2.31352031e-04  4.35379717e-06  4.33012546e-01  4.35379717e-06 -2.66406060e-04  4.35379717e-06  2.92170552e-01  4.35379717e-06  2.92598017e-03 
 4.45379717e-06  4.45379717e-01  4.45379717e-06 -2.40917970e-04  4.45379717e-06  4.43013434e-01  4.45379717e-06 -2.74278049e-04  4.45379717e-06  2.97223163e-01  4.45379717e-06  2.92593489e-03 
 4.55379717e-06  4.55379717e-01  4.55379717e-06 -2.50483178e-04  4.55379717e-06  4.53014267e-01  4.55379717e-06 -2.82287121e-04  4.55379717e-06  3.02054735e-01  4.55379717e-06  2.92589116e-03 
 4.65379717e-06  4.65379717e-01  4.65379717e-06 -2.60048874e-04  4.65379717e-06  4.63015035e-01  4.65379717e-06 -2.90062983e-04  4.65379717e-06  3.06643281e-01  4.65379717e-06  2.92584898e-03 
 4.75379717e-06  4.75379717e-01  4.75379717e-06 -2.69613837e-04  4.75379717e-06  4.73015728e-01  4.75379717e-06 -2.97966669e-04  4.75379717e-06  3.10965364e-01  4.75379717e-06  2.92580833e-03 
 4.85379717e-06  4.85379717e-01  4.85379717e-06 -2.79179286e-04  4.85379717e-06  4.83016333e-01  4.85379717e-06 -3.05635835e-04  4.85379717e-06  3.14996196e-01  4.85379717e-06  2.92576923e-03 
 4.95379717e-06  4.95379717e-01  4.95379717e-06 -2.88744004e-04  4.95379717e-06  4.93016837e-01  4.95379717e-06 -3.13422785e-04  4.95379717e-06  3.18709784e-01  4.95379717e-06  2.92573165e-03 
 5.05379717e-06  5.05379717e-01  5.05379717e-06 -2.98309210e-04  5.05379717e-06  5.03017223e-01  5.05379717e-06 -3.20973003e-04  5.05379717e-06  3.22079126e-01  5.05379717e-06  2.92569560e-03 
 5.15379717e-06  5.15379717e-01  5.15379717e-06 -3.07873695e-04  5.15379717e-06  5.13017474e-01  5.15379717e-06 -3.28629878e-04  5.15379717e-06  3.25076460e-01  5.15379717e-06  2.92566106e-03 
 5.25379717e-06  5.25379717e-01  5.25379717e-06 -3.17438679e-04  5.25379717e-06  5.23017567e-01  5.25379717e-06 -3.36046515e-04  5.25379717e-06  3.27673544e-01  5.25379717e-06  2.92562805e-03 
 5.35379717e-06  5.35379717e-01  5.35379717e-06 -3.27002958e-04  5.35379717e-06  5.33017479e-01  5.35379717e-06 -3.43557167e-04  5.35379717e-06  3.29841965e-01  5.35379717e-06  2.92559653e-03 
 5.45379717e-06  5.45379717e-01  5.45379717e-06 -3.36567757e-04  5.45379717e-06  5.43017181e-01  5.45379717e-06 -3.50822248e-04  5.45379717e-06  3.31553448e-01  5.45379717e-06  2.92556651e-03 
 5.55379717e-06  5.55379717e-01  5.55379717e-06 -3.46131879e-04  5.55379717e-06  5.53016641e-01  5.55379717e-06 -3.58166594e-04  5.55379717e-06  3.32780124e-01  5.55379717e-06  2.92553798e-03 
 5.65379717e-06  5.65379717e-01  5.65379717e-06 -3.55696554e-04  5.65379717e-06  5.63015821e-01  5.65379717e-06 -3.65257503e-04  5.65379717e-06  3.33494746e-01  5.65379717e-06  2.92551094e-03 
 5.75379717e-06  5.75379717e-01  5.75379717e-06 -3.65260591e-04  5.75379717e-06  5.73014679e-01  5.75379717e-06 -3.72410024e-04  5.75379717e-06  3.33670797e-01  5.75379717e-06  2.92548536e-03 
 5.85379717e-06  5.85379717e-01  5.85379717e-06 -3.74825224e-04  5.85379717e-06  5.83013160e-01  5.85379717e-06 -3.79297758e-04  5.85379717e-06  3.33282508e-01  5.85379717e-06  2.92546126e-03 
 5.95379717e-06  5.95379717e-01  5.95379717e-06 -3.84389271e-04  5.95379717e-06  5.93011208e-01  5.95379717e-06 -3.86225449e-04  5.95379717e-06  3.32304771e-01  5.95379717e-06  2.92543859e-03 
 6.05379717e-06  6.05379717e-01  6.05379717e-06 -3.93953963e-04  6.05379717e-06  6.03008750e-01  6.05379717e-06 -3.92865961e-04  6.05379717e-06  3.30713071e-01  6.05379717e-06  2.92541736e-03 
 6.15379717e-06  6.15379717e-01  6.15379717e-06 -4.03518119e-04  6.15379717e-06  6.13005711e-01  6.15379717e-06 -3.99517769e-04  6.15379717e-06  3.28483556e-01  6.15379717e-06  2.92539754e-03 
 6.25379717e-06  6.25379717e-01  6.25379717e-06 -4.13082971e-04  6.25379717e-06  6.23001996e-01  6.25379717e-06 -4.05870036e-04  6.25379717e-06  3.25593724e-01  6.25379717e-06  2.92537913e-03 
 6.35379717e-06  6.35379717e-01  6.35379717e-06 -4.22647325e-04  6.35379717e-06  6.32997513e-01  6.35379717e-06 -4.12194374e-04  6.35379717e-06  3.22025117e-01  6.35379717e-06  2.92536209e-03 
 6.45379717e-06  6.45379717e-01  6.45379717e-06 -4.32212364e-04  6.45379717e-06  6.42992163e-01  6.45379717e-06 -4.18179373e-04  6.45379717e-06  3.17773305e-01  6.45379717e-06  2.92534643e-03 
 6.55379717e-06  6.55379717e-01  6.55379717e-06 -4.41776805e-04  6.55379717e-06  6.52985898e-01  6.55379717e-06 -4.24072000e-04  6.55379717e-06  3.12884905e-01  6.55379717e-06  2.92533210e-03 
 6.65379717e-06  6.65379717e-01  6.65379717e-06 -4.51341603e-04  6.65379717e-06  6.62978835e-01  6.65379717e-06 -4.29549644e-04  6.65379717e-06  3.07581732e-01  6.65379717e-06  2.92531909e-03 
 6.75379717e-06  6.75379717e-01  6.75379717e-06 -4.60904965e-04  6.75379717e-06  6.72971607e-01  6.75379717e-06 -4.34779055e-04  6.75379717e-06  3.02610359e-01  6.75379717e-06  2.92530738e-03 
 6.85379717e-06  6.85379717e-01  6.85379717e-06 -4.70466732e-04  6.85379717e-06  6.82965966e-01  6.85379717e-06 -4.39303242e-04  6.85379717e-06  2.99969716e-01  6.85379717e-06  2.92529702e-03 
 6.95379717e-06  6.95379717e-01  6.95379717e-06 -4.80024213e-04  6.95379717e-06  6.92962971e-01  6.95379717e-06 -4.43298461e-04  6.95379717e-06  3.01944420e-01  6.95379717e-06  2.92528810e-03 
 7.05379717e-06  7.05379717e-01  7.05379717e-06 -4.89578975e-04  7.05379717e-06  7.02959353e-01  7.05379717e-06 -4.46685207e-04  7.05379717e-06  3.07722324e-01  7.05379717e-06  2.92528075e-03 
 7.15379717e-06  7.15379717e-01  7.15379717e-06 -4.99131166e-04  7.15379717e-06  7.12951755e-01  7.15379717e-06 -4.49663020e-04  7.15379717e-06  3.14656997e-01  7.15379717e-06  2.92527507e-03 
 7.25379717e-06  7.25379717e-01  7.25379717e-06 -5.08682266e-04  7.25379717e-06  7.22940741e-01  7.25379717e-06 -4.51828195e-04  7.25379717e-06  3.21646425e-01  7.25379717e-06  2.92527113e-03 
 7.35379717e-06  7.35379717e-01  7.35379717e-06 -5.18230814e-04  7.35379717e-06  7.32927368e-01  7.35379717e-06 -4.53340660e-04  7.35379717e-06  3.28252469e-01  7.35379717e-06  2.92526900e-03 
 7.45379717e-06  7.45379717e-01  7.45379717e-06 -5.27777714e-04  7.45379717e-06  7.42911828e-01  7.45379717e-06 -4.53820092e-04  7.45379717e-06  3.33537388e-01  7.45379717e-06  2.92526879e-03 
 7.55379717e-06  7.55379717e-01  7.55379717e-06 -5.37321442e-04  7.55379717e-06  7.52894016e-01  7.55379717e-06 -4.53387759e-04  7.55379717e-06  3.35586034e-01  7.55379717e-06  2.92527059e-03 
 7.65379717e-06  7.65379717e-01  7.65379717e-06 -5.46862806e-04  7.65379717e-06  7.62873705e-01  7.65379717e-06 -4.51623421e-04  7.65379717e-06  3.30598940e-01  7.65379717e-06  2.92527457e-03 
 7.75379717e-06  7.75379717e-01  7.75379717e-06 -5.56400170e-04  7.75379717e-06  7.72850614e-01  7.75379717e-06 -4.48596008e-04  7.75379717e-06  3.11293464e-01  7.75379717e-06  2.92528089e-03 
 7.85379717e-06  7.85379717e-01  7.85379717e-06 -5.65934200e-04  7.85379717e-06  7.82824413e-01  7.85379717e-06 -4.43829843e-04  7.85379717e-06  2.64673160e-01  7.85379717e-06  2.92528981e-03 
