 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 4.30059778e-05  4.30059778e+00  4.30059778e-05  4.29920576e+00  4.30059778e-05  2.33111834e+00  4.30059778e-05  4.30062893e+00 
 4.35059778e-05  4.35059778e+00  4.35059778e-05  4.34922189e+00  4.35059778e-05  2.36397195e+00  4.35059778e-05  4.35051800e+00 
 4.38852541e-05  4.38852541e+00  4.38852541e-05  4.38716117e+00  4.38852541e-05  2.38902429e+00  4.38852541e-05  4.38856487e+00 
 4.41192619e-05  4.41192619e+00  4.41192619e-05  4.41056898e+00  4.41192619e-05  2.40438740e+00  4.41192619e-05  4.41185176e+00 
 4.42375805e-05  4.42375805e+00  4.42375805e-05  4.42240430e+00  4.42375805e-05  2.41224831e+00  4.42375805e-05  4.42379451e+00 
 4.43607236e-05  4.43607236e+00  4.43607236e-05  4.43472219e+00  4.43607236e-05  2.42031437e+00  4.43607236e-05  4.43600006e+00 
 4.44885921e-05  4.44885921e+00  4.44885921e-05  4.44751272e+00  4.44885921e-05  2.42880250e+00  4.44885921e-05  4.44889455e+00 
 4.46616651e-05  4.46616651e+00  4.46616651e-05  4.46482490e+00  4.46616651e-05  2.44017391e+00  4.46616651e-05  4.46609535e+00 
 4.50078111e-05  4.50078111e+00  4.50078111e-05  4.49944903e+00  4.50078111e-05  2.46307988e+00  4.50078111e-05  4.50081564e+00 
 4.55078111e-05  4.55078111e+00  4.55078111e-05  4.54946219e+00  4.55078111e-05  2.49609768e+00  4.55078111e-05  4.55071120e+00 
 4.60078111e-05  4.60078111e+00  4.60078111e-05  4.59947464e+00  4.60078111e-05  2.52929039e+00  4.60078111e-05  4.60081481e+00 
 4.65078111e-05  4.65078111e+00  4.65078111e-05  4.64948635e+00  4.65078111e-05  2.56252336e+00  4.65078111e-05  4.65071248e+00 
 4.70078111e-05  4.70078111e+00  4.70078111e-05  4.69949731e+00  4.70078111e-05  2.59606836e+00  4.70078111e-05  4.70081404e+00 
 4.75078111e-05  4.75078111e+00  4.75078111e-05  4.74950732e+00  4.75078111e-05  2.63047642e+00  4.75078111e-05  4.75071372e+00 
 4.80078111e-05  4.80078111e+00  4.80078111e-05  4.79951566e+00  4.80078111e-05  2.66697633e+00  4.80078111e-05  4.80081339e+00 
 4.85078111e-05  4.85078111e+00  4.85078111e-05  4.84952194e+00  4.85078111e-05  2.70301964e+00  4.85078111e-05  4.85071485e+00 
 4.90078111e-05  4.90078111e+00  4.90078111e-05  4.89952821e+00  4.90078111e-05  2.74018845e+00  4.90078111e-05  4.90081274e+00 
 4.95078111e-05  4.95078111e+00  4.95078111e-05  4.94953301e+00  4.95078111e-05  2.77765951e+00  4.95078111e-05  4.95071594e+00 
 5.00078111e-05  5.00078111e+00  5.00078111e-05  4.99953697e+00  5.00078111e-05  2.81580583e+00  5.00078111e-05  5.00081211e+00 
 5.05078111e-05  5.05078111e+00  5.05078111e-05  5.04954007e+00  5.05078111e-05  2.85420576e+00  5.05078111e-05  5.05071697e+00 
 5.10078111e-05  5.10078111e+00  5.10078111e-05  5.09954226e+00  5.10078111e-05  2.89303391e+00  5.10078111e-05  5.10081150e+00 
 5.15078111e-05  5.15078111e+00  5.15078111e-05  5.14954379e+00  5.15078111e-05  2.93202664e+00  5.15078111e-05  5.15071794e+00 
 5.20078111e-05  5.20078111e+00  5.20078111e-05  5.19954444e+00  5.20078111e-05  2.97130329e+00  5.20078111e-05  5.20081091e+00 
 5.25078111e-05  5.25078111e+00  5.25078111e-05  5.24954446e+00  5.25078111e-05  3.01068402e+00  5.25078111e-05  5.25071887e+00 
 5.30078111e-05  5.30078111e+00  5.30078111e-05  5.29954362e+00  5.30078111e-05  3.05026698e+00  5.30078111e-05  5.30081034e+00 
 5.35078111e-05  5.35078111e+00  5.35078111e-05  5.34954212e+00  5.35078111e-05  3.08992890e+00  5.35078111e-05  5.35071974e+00 
 5.40078111e-05  5.40078111e+00  5.40078111e-05  5.39953972e+00  5.40078111e-05  3.12975910e+00  5.40078111e-05  5.40080980e+00 
