 2.39883292e+04 -4.03563598e+02  2.39883292e+04 -9.00000760e+01 
 2.51188643e+04 -4.03963598e+02  2.51188643e+04 -9.00000760e+01 
 2.63026799e+04 -4.04363598e+02  2.63026799e+04 -9.00000760e+01 
 2.75422870e+04 -4.04763597e+02  2.75422870e+04 -9.00000760e+01 
 2.88403150e+04 -4.05163598e+02  2.88403150e+04 -9.00000760e+01 
 3.01995172e+04 -4.05563597e+02  3.01995172e+04 -9.00000760e+01 
 3.16227766e+04 -4.05963597e+02  3.16227766e+04 -9.00000760e+01 
 3.31131121e+04 -4.06363597e+02  3.31131121e+04 -9.00000760e+01 
 3.46736850e+04 -4.06763597e+02  3.46736850e+04 -9.00000760e+01 
 3.63078055e+04 -4.07163597e+02  3.63078055e+04 -9.00000760e+01 
 3.80189396e+04 -4.07563597e+02  3.80189396e+04 -9.00000760e+01 
 3.98107171e+04 -4.07963598e+02  3.98107171e+04 -9.00000760e+01 
 4.16869383e+04 -4.08363597e+02  4.16869383e+04 -9.00000760e+01 
 4.36515832e+04 -4.08763597e+02  4.36515832e+04 -9.00000760e+01 
 4.57088190e+04 -4.09163597e+02  4.57088190e+04 -9.00000760e+01 
 4.78630092e+04 -4.09563597e+02  4.78630092e+04 -9.00000760e+01 
 5.01187234e+04 -4.09963598e+02  5.01187234e+04 -9.00000761e+01 
 5.24807460e+04 -4.10363597e+02  5.24807460e+04 -9.00000760e+01 
 5.49540874e+04 -4.10763597e+02  5.49540874e+04 -9.00000760e+01 
 5.75439937e+04 -4.11163597e+02  5.75439937e+04 -9.00000759e+01 
 6.02559586e+04 -4.11563597e+02  6.02559586e+04 -9.00000759e+01 
 6.30957344e+04 -4.11963597e+02  6.30957344e+04 -9.00000759e+01 
 6.60693448e+04 -4.12363598e+02  6.60693448e+04 -9.00000761e+01 
 6.91830971e+04 -4.12763597e+02  6.91830971e+04 -9.00000760e+01 
 7.24435960e+04 -4.13163598e+02  7.24435960e+04 -9.00000760e+01 
 7.58577575e+04 -4.13563597e+02  7.58577575e+04 -9.00000760e+01 
 7.94328235e+04 -4.13963598e+02  7.94328235e+04 -9.00000761e+01 
 8.31763771e+04 -4.14363597e+02  8.31763771e+04 -9.00000759e+01 
 8.70963590e+04 -4.14763597e+02  8.70963590e+04 -9.00000760e+01 
 9.12010839e+04 -4.15163597e+02  9.12010839e+04 -9.00000759e+01 
 9.54992586e+04 -4.15563597e+02  9.54992586e+04 -9.00000760e+01 
 1.00000000e+05 -4.15963598e+02  1.00000000e+05 -9.00000761e+01 
 1.04712855e+05 -4.16363598e+02  1.04712855e+05 -9.00000762e+01 
 1.09647820e+05 -4.16763597e+02  1.09647820e+05 -9.00000759e+01 
 1.14815362e+05 -4.17163597e+02  1.14815362e+05 -9.00000760e+01 
 1.20226443e+05 -4.17563597e+02  1.20226443e+05 -9.00000759e+01 
 1.25892541e+05 -4.17963597e+02  1.25892541e+05 -9.00000760e+01 
 1.31825674e+05 -4.18363597e+02  1.31825674e+05 -9.00000760e+01 
 1.38038426e+05 -4.18763598e+02  1.38038426e+05 -9.00000762e+01 
 1.44543977e+05 -4.19163597e+02  1.44543977e+05 -9.00000759e+01 
 1.51356125e+05 -4.19563598e+02  1.51356125e+05 -9.00000762e+01 
 1.58489319e+05 -4.19963597e+02  1.58489319e+05 -9.00000760e+01 
 1.65958691e+05 -4.20363598e+02  1.65958691e+05 -9.00000763e+01 
 1.73780083e+05 -4.20763598e+02  1.73780083e+05 -9.00000761e+01 
 1.81970086e+05 -4.21163598e+02  1.81970086e+05 -9.00000763e+01 
 1.90546072e+05 -4.21563598e+02  1.90546072e+05 -9.00000761e+01 
 1.99526231e+05 -4.21963598e+02  1.99526231e+05 -9.00000762e+01 
 2.08929613e+05 -4.22363597e+02  2.08929613e+05 -9.00000760e+01 
 2.18776162e+05 -4.22763597e+02  2.18776162e+05 -9.00000759e+01 
 2.29086765e+05 -4.23163598e+02  2.29086765e+05 -9.00000763e+01 
 2.39883292e+05 -4.23563599e+02  2.39883292e+05 -9.00000764e+01 
 2.51188643e+05 -4.23963598e+02  2.51188643e+05 -9.00000762e+01 
 2.63026799e+05 -4.24363599e+02  2.63026799e+05 -9.00000765e+01 
 2.75422870e+05 -4.24763598e+02  2.75422870e+05 -9.00000762e+01 
 2.88403150e+05 -4.25163597e+02  2.88403150e+05 -9.00000759e+01 
 3.01995172e+05 -4.25563596e+02  3.01995172e+05 -9.00000756e+01 
 3.16227766e+05 -4.25963598e+02  3.16227766e+05 -9.00000761e+01 
 3.31131121e+05 -4.26363597e+02  3.31131121e+05 -9.00000761e+01 
 3.46736850e+05 -4.26763596e+02  3.46736850e+05 -9.00000756e+01 
 3.63078055e+05 -4.27163597e+02  3.63078055e+05 -9.00000760e+01 
 3.80189396e+05 -4.27563597e+02  3.80189396e+05 -9.00000759e+01 
 3.98107171e+05 -4.27963597e+02  3.98107171e+05 -9.00000760e+01 
 4.16869383e+05 -4.28363597e+02  4.16869383e+05 -9.00000756e+01 
 4.36515832e+05 -4.28763598e+02  4.36515832e+05 -9.00000765e+01 
 4.57088190e+05 -4.29163597e+02  4.57088190e+05 -9.00000756e+01 
 4.78630092e+05 -4.29563597e+02  4.78630092e+05 -9.00000757e+01 
 5.01187234e+05 -4.29963597e+02  5.01187234e+05 -9.00000757e+01 
 5.24807460e+05 -4.30363598e+02  5.24807460e+05 -9.00000765e+01 
 5.49540874e+05 -4.30763596e+02  5.49540874e+05 -9.00000755e+01 
 5.75439937e+05 -4.31163597e+02  5.75439937e+05 -9.00000759e+01 
 6.02559586e+05 -4.31563597e+02  6.02559586e+05 -9.00000756e+01 
 6.30957344e+05 -4.31963598e+02  6.30957344e+05 -9.00000765e+01 
 6.60693448e+05 -4.32363598e+02  6.60693448e+05 -9.00000765e+01 
 6.91830971e+05 -4.32763598e+02  6.91830971e+05 -9.00000762e+01 
 7.24435960e+05 -4.33163598e+02  7.24435960e+05 -9.00000763e+01 
 7.58577575e+05 -4.33563597e+02  7.58577575e+05 -9.00000760e+01 
 7.94328235e+05 -4.33963597e+02  7.94328235e+05 -9.00000760e+01 
 8.31763771e+05 -4.34363598e+02  8.31763771e+05 -9.00000768e+01 
 8.70963590e+05 -4.34763598e+02  8.70963590e+05 -9.00000767e+01 
 9.12010839e+05 -4.35163599e+02  9.12010839e+05 -9.00000769e+01 
 9.54992586e+05 -4.35563598e+02  9.54992586e+05 -9.00000764e+01 
 1.00000000e+06 -4.35963597e+02  1.00000000e+06 -9.00000760e+01 
 1.04712855e+06 -4.36363597e+02  1.04712855e+06 -9.00000756e+01 
