 1.00000000e+03 -6.91355631e+01  1.00000000e+03 -4.34684614e-06  1.00000000e+03 -1.48233391e+02 
 1.04712855e+03 -6.87355655e+01  1.04712855e+03 -4.76605051e-06  1.04712855e+03 -1.47860291e+02 
 1.09647820e+03 -6.83355683e+01  1.09647820e+03 -5.22567202e-06  1.09647820e+03 -1.47489597e+02 
 1.14815362e+03 -6.79355712e+01  1.14815362e+03 -5.72960523e-06  1.14815362e+03 -1.47121504e+02 
 1.20226443e+03 -6.75355744e+01  1.20226443e+03 -6.28211967e-06  1.20226443e+03 -1.46756223e+02 
 1.25892541e+03 -6.71355779e+01  1.25892541e+03 -6.88789588e-06  1.25892541e+03 -1.46393974e+02 
 1.31825674e+03 -6.67355817e+01  1.31825674e+03 -7.55206494e-06  1.31825674e+03 -1.46034994e+02 
 1.38038426e+03 -6.63355858e+01  1.38038426e+03 -8.28025183e-06  1.38038426e+03 -1.45679531e+02 
 1.44543977e+03 -6.59355902e+01  1.44543977e+03 -9.07862292e-06  1.44543977e+03 -1.45327846e+02 
 1.51356125e+03 -6.55355951e+01  1.51356125e+03 -9.95393804e-06  1.51356125e+03 -1.44980211e+02 
 1.58489319e+03 -6.51356003e+01  1.58489319e+03 -1.09136076e-05  1.58489319e+03 -1.44636912e+02 
 1.65958691e+03 -6.47356059e+01  1.65958691e+03 -1.19657552e-05  1.65958691e+03 -1.44298244e+02 
 1.73780083e+03 -6.43356120e+01  1.73780083e+03 -1.31192864e-05  1.73780083e+03 -1.43964513e+02 
 1.81970086e+03 -6.39356185e+01  1.81970086e+03 -1.43839636e-05  1.81970086e+03 -1.43636032e+02 
 1.90546072e+03 -6.35356256e+01  1.90546072e+03 -1.57704891e-05  1.90546072e+03 -1.43313121e+02 
 1.99526231e+03 -6.31356332e+01  1.99526231e+03 -1.72905953e-05  1.99526231e+03 -1.42996103e+02 
 2.08929613e+03 -6.27356414e+01  2.08929613e+03 -1.89571443e-05  2.08929613e+03 -1.42685306e+02 
 2.18776162e+03 -6.23356502e+01  2.18776162e+03 -2.07842365e-05  2.18776162e+03 -1.42381054e+02 
 2.29086765e+03 -6.19356597e+01  2.29086765e+03 -2.27873302e-05  2.29086765e+03 -1.42083670e+02 
 2.39883292e+03 -6.15356698e+01  2.39883292e+03 -2.49833725e-05  2.39883292e+03 -1.41793467e+02 
 2.51188643e+03 -6.11356807e+01  2.51188643e+03 -2.73909436e-05  2.51188643e+03 -1.41510751e+02 
 2.63026799e+03 -6.07356923e+01  2.63026799e+03 -3.00304136e-05  2.63026799e+03 -1.41235812e+02 
 2.75422870e+03 -6.03357047e+01  2.75422870e+03 -3.29241162e-05  2.75422870e+03 -1.40968922e+02 
 2.88403150e+03 -5.99357180e+01  2.88403150e+03 -3.60965381e-05  2.88403150e+03 -1.40710334e+02 
 3.01995172e+03 -5.95357323e+01  3.01995172e+03 -3.95745270e-05  3.01995172e+03 -1.40460275e+02 
 3.16227766e+03 -5.91357475e+01  3.16227766e+03 -4.33875200e-05  3.16227766e+03 -1.40218943e+02 
 3.31131121e+03 -5.87357637e+01  3.31131121e+03 -4.75677937e-05  3.31131121e+03 -1.39986505e+02 
 3.46736850e+03 -5.83357810e+01  3.46736850e+03 -5.21507389e-05  3.46736850e+03 -1.39763097e+02 
 3.63078055e+03 -5.79357995e+01  3.63078055e+03 -5.71751612e-05  3.63078055e+03 -1.39548816e+02 
 3.80189396e+03 -5.75358193e+01  3.80189396e+03 -6.26836112e-05  3.80189396e+03 -1.39343722e+02 
 3.98107171e+03 -5.71358405e+01  3.98107171e+03 -6.87227463e-05  3.98107171e+03 -1.39147836e+02 
 4.16869383e+03 -5.67358631e+01  4.16869383e+03 -7.53437273e-05  4.16869383e+03 -1.38961143e+02 
 4.36515832e+03 -5.63358874e+01  4.36515832e+03 -8.26026528e-05  4.36515832e+03 -1.38783586e+02 
 4.57088190e+03 -5.59359133e+01  4.57088190e+03 -9.05610364e-05  4.57088190e+03 -1.38615072e+02 
 4.78630092e+03 -5.55359412e+01  4.78630092e+03 -9.92863288e-05  4.78630092e+03 -1.38455471e+02 
 5.01187234e+03 -5.51359711e+01  5.01187234e+03 -1.08852491e-04  5.01187234e+03 -1.38304620e+02 
 5.24807460e+03 -5.47360032e+01  5.24807460e+03 -1.19340620e-04  5.24807460e+03 -1.38162322e+02 
 5.49540874e+03 -5.43360378e+01  5.49540874e+03 -1.30839642e-04  5.49540874e+03 -1.38028356e+02 
 5.75439937e+03 -5.39360751e+01  5.75439937e+03 -1.43447059e-04  5.75439937e+03 -1.37902472e+02 
 6.02559586e+03 -5.35361153e+01  6.02559586e+03 -1.57269782e-04  6.02559586e+03 -1.37784400e+02 
 6.30957344e+03 -5.31361588e+01  6.30957344e+03 -1.72425037e-04  6.30957344e+03 -1.37673852e+02 
 6.60693448e+03 -5.27362058e+01  6.60693448e+03 -1.89041353e-04  6.60693448e+03 -1.37570525e+02 
 6.91830971e+03 -5.23362568e+01  6.91830971e+03 -2.07259657e-04  6.91830971e+03 -1.37474106e+02 
 7.24435960e+03 -5.19363121e+01  7.24435960e+03 -2.27234465e-04  7.24435960e+03 -1.37384275e+02 
 7.58577575e+03 -5.15363722e+01  7.58577575e+03 -2.49135191e-04  7.58577575e+03 -1.37300707e+02 
 7.94328235e+03 -5.11364375e+01  7.94328235e+03 -2.73147581e-04  7.94328235e+03 -1.37223077e+02 
 8.31763771e+03 -5.07365085e+01  8.31763771e+03 -2.99475287e-04  8.31763771e+03 -1.37151061e+02 
 8.70963590e+03 -5.03365859e+01  8.70963590e+03 -3.28341586e-04  8.70963590e+03 -1.37084340e+02 
 9.12010839e+03 -4.99366702e+01  9.12010839e+03 -3.59991275e-04  9.12010839e+03 -1.37022600e+02 
 9.54992586e+03 -4.95367622e+01  9.54992586e+03 -3.94692735e-04  9.54992586e+03 -1.36965537e+02 
 1.00000000e+04 -4.91368627e+01  1.00000000e+04 -4.32740206e-04  1.00000000e+04 -1.36912854e+02 
 1.04712855e+04 -4.87369724e+01  1.04712855e+04 -4.74456268e-04  1.04712855e+04 -1.36864267e+02 
 1.09647820e+04 -4.83370923e+01  1.09647820e+04 -5.20194569e-04  1.09647820e+04 -1.36819502e+02 
 1.14815362e+04 -4.79372234e+01  1.14815362e+04 -5.70342812e-04  1.14815362e+04 -1.36778300e+02 
 1.20226443e+04 -4.75373668e+01  1.20226443e+04 -6.25326025e-04  1.20226443e+04 -1.36740411e+02 
 1.25892541e+04 -4.71375236e+01  1.25892541e+04 -6.85610145e-04  1.25892541e+04 -1.36705601e+02 
 1.31825674e+04 -4.67376953e+01  1.31825674e+04 -7.51705950e-04  1.31825674e+04 -1.36673649e+02 
